actual_player,predicted_player,top_3_predictions,top_3_correct,top_5_predictions,top_5_correct,top_7_predictions,top_7_correct,top_10_predictions,top_10_correct
Damon Stoudamire,Mike Conley,"['Marc Gasol', 'Hakim Warrick', 'Mike Conley']",False,"['Dahntay Jones', 'Greivis Vasquez', 'Marc Gasol', 'Hakim Warrick', 'Mike Conley']",False,"['Rudy Gay', 'Jerryd Bayless', 'Dahntay Jones', 'Greivis Vasquez', 'Marc Gasol', 'Hakim Warrick', 'Mike Conley']",False,"['Chucky Atkins', 'Mike Miller', 'Damon Stoudamire', 'Rudy Gay', 'Jerryd Bayless', 'Dahntay Jones', 'Greivis Vasquez', 'Marc Gasol', 'Hakim Warrick', 'Mike Conley']",True
Carlos Boozer,Deron Williams,"['Mehmet Okur', 'Carlos Boozer', 'Deron Williams']",True,"['Paul Millsap', 'Kyle Korver', 'Mehmet Okur', 'Carlos Boozer', 'Deron Williams']",True,"['Matt Harpring', 'Derrick Favors', 'Paul Millsap', 'Kyle Korver', 'Mehmet Okur', 'Carlos Boozer', 'Deron Williams']",True,"['C.J. Miles', 'Gordon Hayward', 'Derek Fisher', 'Matt Harpring', 'Derrick Favors', 'Paul Millsap', 'Kyle Korver', 'Mehmet Okur', 'Carlos Boozer', 'Deron Williams']",True
Paul Millsap,Paul Millsap,"['Mehmet Okur', 'Ronnie Brewer', 'Paul Millsap']",True,"['Ronnie Price', 'Trey Burke', 'Mehmet Okur', 'Ronnie Brewer', 'Paul Millsap']",True,"['Matt Harpring', 'Randy Foye', 'Ronnie Price', 'Trey Burke', 'Mehmet Okur', 'Ronnie Brewer', 'Paul Millsap']",True,"['Carlos Boozer', 'Deron Williams', 'Gordon Hayward', 'Matt Harpring', 'Randy Foye', 'Ronnie Price', 'Trey Burke', 'Mehmet Okur', 'Ronnie Brewer', 'Paul Millsap']",True
Ime Udoka,Brandon Roy,"['LaMarcus Aldridge', 'Damian Lillard', 'Brandon Roy']",False,"['Nicolas Batum', 'Andre Miller', 'LaMarcus Aldridge', 'Damian Lillard', 'Brandon Roy']",False,"['Jarrett Jack', 'CJ McCollum', 'Nicolas Batum', 'Andre Miller', 'LaMarcus Aldridge', 'Damian Lillard', 'Brandon Roy']",False,"['Gerald Wallace', 'Allen Crabbe', 'Joel Przybilla', 'Jarrett Jack', 'CJ McCollum', 'Nicolas Batum', 'Andre Miller', 'LaMarcus Aldridge', 'Damian Lillard', 'Brandon Roy']",False
Michael Doleac,Udonis Haslem,"['Michael Doleac', ""Shaquille O'Neal"", 'Udonis Haslem']",True,"['Mario Chalmers', 'James Posey', 'Michael Doleac', ""Shaquille O'Neal"", 'Udonis Haslem']",True,"['Dwyane Wade', 'Shane Battier', 'Mario Chalmers', 'James Posey', 'Michael Doleac', ""Shaquille O'Neal"", 'Udonis Haslem']",True,"['Michael Beasley', 'Jason Williams', 'Ricky Davis', 'Dwyane Wade', 'Shane Battier', 'Mario Chalmers', 'James Posey', 'Michael Doleac', ""Shaquille O'Neal"", 'Udonis Haslem']",True
Dwight Howard,Dwight Howard,"['Jameer Nelson', 'Hedo Turkoglu', 'Dwight Howard']",True,"['Darko Milicic', 'J.J. Redick', 'Jameer Nelson', 'Hedo Turkoglu', 'Dwight Howard']",True,"['Glen Davis', 'Grant Hill', 'Darko Milicic', 'J.J. Redick', 'Jameer Nelson', 'Hedo Turkoglu', 'Dwight Howard']",True,"['Rashard Lewis', 'Courtney Lee', 'Carlos Arroyo', 'Glen Davis', 'Grant Hill', 'Darko Milicic', 'J.J. Redick', 'Jameer Nelson', 'Hedo Turkoglu', 'Dwight Howard']",True
Antoine Walker,Dwyane Wade,"['Dorell Wright', 'Antoine Walker', 'Dwyane Wade']",True,"['LeBron James', 'James Posey', 'Dorell Wright', 'Antoine Walker', 'Dwyane Wade']",True,"['Gary Payton', 'Joel Anthony', 'LeBron James', 'James Posey', 'Dorell Wright', 'Antoine Walker', 'Dwyane Wade']",True,"['Eddie Jones', 'Chris Quinn', 'Mario Chalmers', 'Gary Payton', 'Joel Anthony', 'LeBron James', 'James Posey', 'Dorell Wright', 'Antoine Walker', 'Dwyane Wade']",True
Quentin Richardson,Wilson Chandler,"['Tyson Chandler', 'Stephon Marbury', 'Wilson Chandler']",False,"['Zach Randolph', 'Toney Douglas', 'Tyson Chandler', 'Stephon Marbury', 'Wilson Chandler']",False,"['Steve Francis', 'Renaldo Balkman', 'Zach Randolph', 'Toney Douglas', 'Tyson Chandler', 'Stephon Marbury', 'Wilson Chandler']",False,"['Nate Robinson', 'Quentin Richardson', 'Tim Hardaway', 'Steve Francis', 'Renaldo Balkman', 'Zach Randolph', 'Toney Douglas', 'Tyson Chandler', 'Stephon Marbury', 'Wilson Chandler']",True
Renaldo Balkman,Nate Robinson,"['Jamal Crawford', 'Renaldo Balkman', 'Nate Robinson']",True,"['Jared Jeffries', 'Quentin Richardson', 'Jamal Crawford', 'Renaldo Balkman', 'Nate Robinson']",True,"['Stephon Marbury', 'David Lee', 'Jared Jeffries', 'Quentin Richardson', 'Jamal Crawford', 'Renaldo Balkman', 'Nate Robinson']",True,"['Raymond Felton', 'Carmelo Anthony', 'Eddy Curry', 'Stephon Marbury', 'David Lee', 'Jared Jeffries', 'Quentin Richardson', 'Jamal Crawford', 'Renaldo Balkman', 'Nate Robinson']",True
J.R. Smith,Carmelo Anthony,"['J.R. Smith', 'Earl Boykins', 'Carmelo Anthony']",True,"['Chris Andersen', 'Chauncey Billups', 'J.R. Smith', 'Earl Boykins', 'Carmelo Anthony']",True,"['Anthony Carter', 'Arron Afflalo', 'Chris Andersen', 'Chauncey Billups', 'J.R. Smith', 'Earl Boykins', 'Carmelo Anthony']",True,"['Danilo Gallinari', 'Andre Miller', 'Kenneth Faried', 'Anthony Carter', 'Arron Afflalo', 'Chris Andersen', 'Chauncey Billups', 'J.R. Smith', 'Earl Boykins', 'Carmelo Anthony']",True
Allen Iverson,Allen Iverson,"['Carmelo Anthony', 'Arron Afflalo', 'Allen Iverson']",True,"['Al Harrington', 'Andre Miller', 'Carmelo Anthony', 'Arron Afflalo', 'Allen Iverson']",True,"['Andre Iguodala', 'Anthony Carter', 'Al Harrington', 'Andre Miller', 'Carmelo Anthony', 'Arron Afflalo', 'Allen Iverson']",True,"['J.R. Smith', 'Ty Lawson', 'Danilo Gallinari', 'Andre Iguodala', 'Anthony Carter', 'Al Harrington', 'Andre Miller', 'Carmelo Anthony', 'Arron Afflalo', 'Allen Iverson']",True
Maurice Evans,Kobe Bryant,"['Jordan Farmar', 'Derek Fisher', 'Kobe Bryant']",False,"['Kwame Brown', 'Lamar Odom', 'Jordan Farmar', 'Derek Fisher', 'Kobe Bryant']",False,"['Pau Gasol', 'Luke Walton', 'Kwame Brown', 'Lamar Odom', 'Jordan Farmar', 'Derek Fisher', 'Kobe Bryant']",False,"['Josh Powell', 'Metta World Peace', 'Andrew Bynum', 'Pau Gasol', 'Luke Walton', 'Kwame Brown', 'Lamar Odom', 'Jordan Farmar', 'Derek Fisher', 'Kobe Bryant']",False
Stephon Marbury,Wilson Chandler,"['Tyson Chandler', 'Stephon Marbury', 'Wilson Chandler']",True,"['Toney Douglas', 'Tim Hardaway', 'Tyson Chandler', 'Stephon Marbury', 'Wilson Chandler']",True,"['Zach Randolph', 'Renaldo Balkman', 'Toney Douglas', 'Tim Hardaway', 'Tyson Chandler', 'Stephon Marbury', 'Wilson Chandler']",True,"['Jamal Crawford', 'Nate Robinson', 'Steve Francis', 'Zach Randolph', 'Renaldo Balkman', 'Toney Douglas', 'Tim Hardaway', 'Tyson Chandler', 'Stephon Marbury', 'Wilson Chandler']",True
Matt Barnes,Monta Ellis,"['Klay Thompson', 'Stephen Curry', 'Monta Ellis']",False,"['Mickael Pietrus', 'Matt Barnes', 'Klay Thompson', 'Stephen Curry', 'Monta Ellis']",True,"['Ronny Turiaf', 'Kelenna Azubuike', 'Mickael Pietrus', 'Matt Barnes', 'Klay Thompson', 'Stephen Curry', 'Monta Ellis']",True,"['Jarrett Jack', 'Mike Dunleavy', 'David Lee', 'Ronny Turiaf', 'Kelenna Azubuike', 'Mickael Pietrus', 'Matt Barnes', 'Klay Thompson', 'Stephen Curry', 'Monta Ellis']",True
Martell Webster,Nicolas Batum,"['Martell Webster', 'LaMarcus Aldridge', 'Nicolas Batum']",True,"['Sergio Rodriguez', 'Rudy Fernandez', 'Martell Webster', 'LaMarcus Aldridge', 'Nicolas Batum']",True,"['Joel Przybilla', 'Steve Blake', 'Sergio Rodriguez', 'Rudy Fernandez', 'Martell Webster', 'LaMarcus Aldridge', 'Nicolas Batum']",True,"['Jarrett Jack', 'Robin Lopez', 'Travis Outlaw', 'Joel Przybilla', 'Steve Blake', 'Sergio Rodriguez', 'Rudy Fernandez', 'Martell Webster', 'LaMarcus Aldridge', 'Nicolas Batum']",True
Chris Webber,Rasheed Wallace,"['Chris Webber', 'Richard Hamilton', 'Rasheed Wallace']",True,"['Tayshaun Prince', 'Jason Maxiell', 'Chris Webber', 'Richard Hamilton', 'Rasheed Wallace']",True,"['Rodney Stuckey', 'Greg Monroe', 'Tayshaun Prince', 'Jason Maxiell', 'Chris Webber', 'Richard Hamilton', 'Rasheed Wallace']",True,"['Lindsey Hunter', 'Chauncey Billups', 'Jonas Jerebko', 'Rodney Stuckey', 'Greg Monroe', 'Tayshaun Prince', 'Jason Maxiell', 'Chris Webber', 'Richard Hamilton', 'Rasheed Wallace']",True
Damon Jones,Anderson Varejao,"['Alonzo Gee', 'Daniel Gibson', 'Anderson Varejao']",False,"['LeBron James', 'Drew Gooden', 'Alonzo Gee', 'Daniel Gibson', 'Anderson Varejao']",False,"['Ben Wallace', 'Damon Jones', 'LeBron James', 'Drew Gooden', 'Alonzo Gee', 'Daniel Gibson', 'Anderson Varejao']",True,"['David Wesley', 'Antawn Jamison', 'Dion Waiters', 'Ben Wallace', 'Damon Jones', 'LeBron James', 'Drew Gooden', 'Alonzo Gee', 'Daniel Gibson', 'Anderson Varejao']",True
Antawn Jamison,Antawn Jamison,"['Brendan Haywood', 'Caron Butler', 'Antawn Jamison']",True,"['John Wall', 'Andray Blatche', 'Brendan Haywood', 'Caron Butler', 'Antawn Jamison']",True,"['DeShawn Stevenson', 'Antonio Daniels', 'John Wall', 'Andray Blatche', 'Brendan Haywood', 'Caron Butler', 'Antawn Jamison']",True,"['JaVale McGee', 'Gilbert Arenas', 'Nick Young', 'DeShawn Stevenson', 'Antonio Daniels', 'John Wall', 'Andray Blatche', 'Brendan Haywood', 'Caron Butler', 'Antawn Jamison']",True
Luther Head,Shane Battier,"['Rafer Alston', 'Luis Scola', 'Shane Battier']",False,"['Kyle Lowry', 'Luther Head', 'Rafer Alston', 'Luis Scola', 'Shane Battier']",True,"['Chuck Hayes', 'Tracy McGrady', 'Kyle Lowry', 'Luther Head', 'Rafer Alston', 'Luis Scola', 'Shane Battier']",True,"['Josh Smith', 'Jeremy Lin', 'James Harden', 'Chuck Hayes', 'Tracy McGrady', 'Kyle Lowry', 'Luther Head', 'Rafer Alston', 'Luis Scola', 'Shane Battier']",True
Antonio McDyess,Antonio McDyess,"['Jason Maxiell', 'Chauncey Billups', 'Antonio McDyess']",True,"['Allen Iverson', 'Carlos Delfino', 'Jason Maxiell', 'Chauncey Billups', 'Antonio McDyess']",True,"['Tayshaun Prince', 'Ben Gordon', 'Allen Iverson', 'Carlos Delfino', 'Jason Maxiell', 'Chauncey Billups', 'Antonio McDyess']",True,"['Richard Hamilton', 'Austin Daye', 'Amir Johnson', 'Tayshaun Prince', 'Ben Gordon', 'Allen Iverson', 'Carlos Delfino', 'Jason Maxiell', 'Chauncey Billups', 'Antonio McDyess']",True
Ronnie Price,Metta World Peace,"['Mike Bibby', 'Kevin Martin', 'Metta World Peace']",False,"['Francisco Garcia', 'John Salmons', 'Mike Bibby', 'Kevin Martin', 'Metta World Peace']",False,"['Ronnie Price', 'Kenny Thomas', 'Francisco Garcia', 'John Salmons', 'Mike Bibby', 'Kevin Martin', 'Metta World Peace']",True,"['Jason Thompson', 'Brad Miller', 'Shareef Abdur-Rahim', 'Ronnie Price', 'Kenny Thomas', 'Francisco Garcia', 'John Salmons', 'Mike Bibby', 'Kevin Martin', 'Metta World Peace']",True
Matt Harpring,Deron Williams,"['Paul Millsap', 'Mehmet Okur', 'Deron Williams']",False,"['Kyle Korver', 'Matt Harpring', 'Paul Millsap', 'Mehmet Okur', 'Deron Williams']",True,"['Jarron Collins', 'Gordon Hayward', 'Kyle Korver', 'Matt Harpring', 'Paul Millsap', 'Mehmet Okur', 'Deron Williams']",True,"['Derek Fisher', 'Andrei Kirilenko', 'Carlos Boozer', 'Jarron Collins', 'Gordon Hayward', 'Kyle Korver', 'Matt Harpring', 'Paul Millsap', 'Mehmet Okur', 'Deron Williams']",True
Antawn Jamison,Antawn Jamison,"['John Wall', 'Andray Blatche', 'Antawn Jamison']",True,"['Caron Butler', 'Bradley Beal', 'John Wall', 'Andray Blatche', 'Antawn Jamison']",True,"['Antonio Daniels', 'Al Thornton', 'Caron Butler', 'Bradley Beal', 'John Wall', 'Andray Blatche', 'Antawn Jamison']",True,"['DeShawn Stevenson', 'Brendan Haywood', 'JaVale McGee', 'Antonio Daniels', 'Al Thornton', 'Caron Butler', 'Bradley Beal', 'John Wall', 'Andray Blatche', 'Antawn Jamison']",True
Mike Miller,Rudy Gay,"['Stromile Swift', 'Zach Randolph', 'Rudy Gay']",False,"['Mike Conley', 'Mike Miller', 'Stromile Swift', 'Zach Randolph', 'Rudy Gay']",True,"['O.J. Mayo', 'Pau Gasol', 'Mike Conley', 'Mike Miller', 'Stromile Swift', 'Zach Randolph', 'Rudy Gay']",True,"['Hakim Warrick', 'Kyle Lowry', 'Marc Gasol', 'O.J. Mayo', 'Pau Gasol', 'Mike Conley', 'Mike Miller', 'Stromile Swift', 'Zach Randolph', 'Rudy Gay']",True
Luol Deng,Luol Deng,"['Joakim Noah', 'Kirk Hinrich', 'Luol Deng']",True,"['Ronnie Brewer', 'Chris Duhon', 'Joakim Noah', 'Kirk Hinrich', 'Luol Deng']",True,"['Ben Wallace', 'P.J. Brown', 'Ronnie Brewer', 'Chris Duhon', 'Joakim Noah', 'Kirk Hinrich', 'Luol Deng']",True,"['Ben Gordon', 'Kyle Korver', 'Taj Gibson', 'Ben Wallace', 'P.J. Brown', 'Ronnie Brewer', 'Chris Duhon', 'Joakim Noah', 'Kirk Hinrich', 'Luol Deng']",True
Trenton Hassell,Ricky Rubio,"['Trenton Hassell', 'Sebastian Telfair', 'Ricky Rubio']",True,"['Wesley Johnson', 'Ryan Gomes', 'Trenton Hassell', 'Sebastian Telfair', 'Ricky Rubio']",True,"['Wayne Ellington', 'Ricky Davis', 'Wesley Johnson', 'Ryan Gomes', 'Trenton Hassell', 'Sebastian Telfair', 'Ricky Rubio']",True,"['Zaza Pachulia', 'Nikola Pekovic', 'Rashad McCants', 'Wayne Ellington', 'Ricky Davis', 'Wesley Johnson', 'Ryan Gomes', 'Trenton Hassell', 'Sebastian Telfair', 'Ricky Rubio']",True
Juwan Howard,Luis Scola,"['Chuck Hayes', 'James Harden', 'Luis Scola']",False,"['Dwight Howard', 'Shane Battier', 'Chuck Hayes', 'James Harden', 'Luis Scola']",False,"['Rafer Alston', 'Kyle Lowry', 'Dwight Howard', 'Shane Battier', 'Chuck Hayes', 'James Harden', 'Luis Scola']",False,"['Luther Head', 'Kevin Martin', 'Chandler Parsons', 'Rafer Alston', 'Kyle Lowry', 'Dwight Howard', 'Shane Battier', 'Chuck Hayes', 'James Harden', 'Luis Scola']",False
Antoine Walker,Antoine Walker,"['Dwyane Wade', 'Alonzo Mourning', 'Antoine Walker']",True,"['Chris Bosh', 'Chris Quinn', 'Dwyane Wade', 'Alonzo Mourning', 'Antoine Walker']",True,"['Chris Andersen', 'Dorell Wright', 'Chris Bosh', 'Chris Quinn', 'Dwyane Wade', 'Alonzo Mourning', 'Antoine Walker']",True,"['LeBron James', 'Daequan Cook', 'Eddie Jones', 'Chris Andersen', 'Dorell Wright', 'Chris Bosh', 'Chris Quinn', 'Dwyane Wade', 'Alonzo Mourning', 'Antoine Walker']",True
Charlie Bell,Ersan Ilyasova,"['Charlie Bell', 'Brandon Jennings', 'Ersan Ilyasova']",True,"['Ekpe Udoh', 'Charlie Villanueva', 'Charlie Bell', 'Brandon Jennings', 'Ersan Ilyasova']",True,"['Joe Johnson', 'Carlos Delfino', 'Ekpe Udoh', 'Charlie Villanueva', 'Charlie Bell', 'Brandon Jennings', 'Ersan Ilyasova']",True,"['Giannis Antetokounmpo', 'Luc Mbah a Moute', 'Mo Williams', 'Joe Johnson', 'Carlos Delfino', 'Ekpe Udoh', 'Charlie Villanueva', 'Charlie Bell', 'Brandon Jennings', 'Ersan Ilyasova']",True
LaMarcus Aldridge,LaMarcus Aldridge,"['Nicolas Batum', 'Martell Webster', 'LaMarcus Aldridge']",True,"['Joel Przybilla', 'Jarrett Jack', 'Nicolas Batum', 'Martell Webster', 'LaMarcus Aldridge']",True,"['Jamaal Magloire', 'Rudy Fernandez', 'Joel Przybilla', 'Jarrett Jack', 'Nicolas Batum', 'Martell Webster', 'LaMarcus Aldridge']",True,"['Meyers Leonard', 'Juan Dixon', 'Brandon Roy', 'Jamaal Magloire', 'Rudy Fernandez', 'Joel Przybilla', 'Jarrett Jack', 'Nicolas Batum', 'Martell Webster', 'LaMarcus Aldridge']",True
Zydrunas Ilgauskas,Zydrunas Ilgauskas,"['Tristan Thompson', 'LeBron James', 'Zydrunas Ilgauskas']",True,"['Mo Williams', 'Sasha Pavlovic', 'Tristan Thompson', 'LeBron James', 'Zydrunas Ilgauskas']",True,"['Anderson Varejao', 'Wally Szczerbiak', 'Mo Williams', 'Sasha Pavlovic', 'Tristan Thompson', 'LeBron James', 'Zydrunas Ilgauskas']",True,"['Tyler Zeller', 'Kyrie Irving', 'Daniel Gibson', 'Anderson Varejao', 'Wally Szczerbiak', 'Mo Williams', 'Sasha Pavlovic', 'Tristan Thompson', 'LeBron James', 'Zydrunas Ilgauskas']",True
P.J. Brown,Tyrus Thomas,"['Taj Gibson', 'Luol Deng', 'Tyrus Thomas']",False,"['Thabo Sefolosha', 'P.J. Brown', 'Taj Gibson', 'Luol Deng', 'Tyrus Thomas']",True,"['Mike Sweetney', 'Kirk Hinrich', 'Thabo Sefolosha', 'P.J. Brown', 'Taj Gibson', 'Luol Deng', 'Tyrus Thomas']",True,"['Joakim Noah', 'Ronnie Brewer', 'Tony Snell', 'Mike Sweetney', 'Kirk Hinrich', 'Thabo Sefolosha', 'P.J. Brown', 'Taj Gibson', 'Luol Deng', 'Tyrus Thomas']",True
Smush Parker,Lamar Odom,"['Pau Gasol', 'Luke Walton', 'Lamar Odom']",False,"['Sasha Vujacic', 'Maurice Evans', 'Pau Gasol', 'Luke Walton', 'Lamar Odom']",False,"['Metta World Peace', 'Kobe Bryant', 'Sasha Vujacic', 'Maurice Evans', 'Pau Gasol', 'Luke Walton', 'Lamar Odom']",False,"['Derek Fisher', 'Smush Parker', 'Ronny Turiaf', 'Metta World Peace', 'Kobe Bryant', 'Sasha Vujacic', 'Maurice Evans', 'Pau Gasol', 'Luke Walton', 'Lamar Odom']",True
Udonis Haslem,Udonis Haslem,"['Mario Chalmers', 'Shane Battier', 'Udonis Haslem']",True,"['Michael Beasley', 'James Posey', 'Mario Chalmers', 'Shane Battier', 'Udonis Haslem']",True,"['Dwyane Wade', 'Jason Williams', 'Michael Beasley', 'James Posey', 'Mario Chalmers', 'Shane Battier', 'Udonis Haslem']",True,"['Shawne Williams', ""Shaquille O'Neal"", 'Ray Allen', 'Dwyane Wade', 'Jason Williams', 'Michael Beasley', 'James Posey', 'Mario Chalmers', 'Shane Battier', 'Udonis Haslem']",True
Carlos Arroyo,Dwight Howard,"['J.J. Redick', 'Jameer Nelson', 'Dwight Howard']",False,"[""E'Twaun Moore"", 'Hedo Turkoglu', 'J.J. Redick', 'Jameer Nelson', 'Dwight Howard']",False,"['Glen Davis', 'Darko Milicic', ""E'Twaun Moore"", 'Hedo Turkoglu', 'J.J. Redick', 'Jameer Nelson', 'Dwight Howard']",False,"['Carlos Arroyo', 'Grant Hill', 'Arron Afflalo', 'Glen Davis', 'Darko Milicic', ""E'Twaun Moore"", 'Hedo Turkoglu', 'J.J. Redick', 'Jameer Nelson', 'Dwight Howard']",True
Deron Williams,Deron Williams,"['Mehmet Okur', 'Paul Millsap', 'Deron Williams']",True,"['Gordon Hayward', 'Derek Fisher', 'Mehmet Okur', 'Paul Millsap', 'Deron Williams']",True,"['Carlos Boozer', 'Kyle Korver', 'Gordon Hayward', 'Derek Fisher', 'Mehmet Okur', 'Paul Millsap', 'Deron Williams']",True,"['Andrei Kirilenko', 'Derrick Favors', 'Matt Harpring', 'Carlos Boozer', 'Kyle Korver', 'Gordon Hayward', 'Derek Fisher', 'Mehmet Okur', 'Paul Millsap', 'Deron Williams']",True
Baron Davis,Baron Davis,"['Monta Ellis', 'David Lee', 'Baron Davis']",True,"['Kelenna Azubuike', 'Andris Biedrins', 'Monta Ellis', 'David Lee', 'Baron Davis']",True,"['Dorell Wright', 'Stephen Curry', 'Kelenna Azubuike', 'Andris Biedrins', 'Monta Ellis', 'David Lee', 'Baron Davis']",True,"['Harrison Barnes', 'C.J. Watson', 'Matt Barnes', 'Dorell Wright', 'Stephen Curry', 'Kelenna Azubuike', 'Andris Biedrins', 'Monta Ellis', 'David Lee', 'Baron Davis']",True
